,hotel,feature
0,Beach Guest House Addalaichenai,Children Activities (Kid / Family Friendly)
,hotel,feature
0,Thompukandam Village Resort,Free parking
1,Thompukandam Village Resort,Free High Speed Internet (WiFi)
2,Thompukandam Village Resort,Pool
3,Thompukandam Village Resort,Restaurant
4,Thompukandam Village Resort,Airport transportation
5,Thompukandam Village Resort,Business Center with Internet Access
6,Thompukandam Village Resort,Meeting rooms
7,Thompukandam Village Resort,BBQ facilities
8,Thompukandam Village Resort,Secured parking
9,Thompukandam Village Resort,Wifi
10,Thompukandam Village Resort,Outdoor pool
11,Thompukandam Village Resort,Newspaper
12,Thompukandam Village Resort,24-hour front desk
13,Thompukandam Village Resort,Laundry service
14,Thompukandam Village Resort,Air conditioning
15,Thompukandam Village Resort,Desk
16,Thompukandam Village Resort,Room service
17,Thompukandam Village Resort,Seating area
18,Thompukandam Village Resort,Coffee / tea maker
19,Thompukandam Village Resort,Minibar
20,Thompukandam Village Resort,Bath / shower
21,Thompukandam Village Resort,Complimentary toiletries
22,Thompukandam Village Resort,Telephone
23,Thompukandam Village Resort,Bottled water
24,Thompukandam Village Resort,Refrigerator
25,Thompukandam Village Resort,Suites
,hotel,feature
0,Quench Inn,Restaurant
1,Quench Inn,Children Activities (Kid / Family Friendly)
,hotel,feature
0,Light House Beach Hut,Free parking
1,Light House Beach Hut,Restaurant
2,Light House Beach Hut,Beach
3,Light House Beach Hut,Bicycle rental
4,Light House Beach Hut,Airport transportation
5,Light House Beach Hut,BBQ facilities
6,Light House Beach Hut,Outdoor furniture
7,Light House Beach Hut,24-hour front desk
8,Light House Beach Hut,Secured parking
9,Light House Beach Hut,Sun terrace
10,Light House Beach Hut,Laundry service
11,Light House Beach Hut,Soundproof rooms
12,Light House Beach Hut,Private beach
13,Light House Beach Hut,Family rooms
,hotel,feature
0,Aprota Villas Arugambay,Free parking
1,Aprota Villas Arugambay,Free High Speed Internet (WiFi)
2,Aprota Villas Arugambay,Pool
3,Aprota Villas Arugambay,Fitness Center with Gym / Workout Room
4,Aprota Villas Arugambay,Free breakfast
5,Aprota Villas Arugambay,Beach
6,Aprota Villas Arugambay,Bicycle rental
7,Aprota Villas Arugambay,Kids stay free
8,Aprota Villas Arugambay,Electric vehicle charging station
9,Aprota Villas Arugambay,Valet parking
10,Aprota Villas Arugambay,Wifi
11,Aprota Villas Arugambay,Pool / beach towels
12,Aprota Villas Arugambay,Swimming pool toys
13,Aprota Villas Arugambay,Infinity pool
14,Aprota Villas Arugambay,Pool with view
15,Aprota Villas Arugambay,Adult pool
16,Aprota Villas Arugambay,Outdoor pool
17,Aprota Villas Arugambay,Private pool
18,Aprota Villas Arugambay,Plunge pool
19,Aprota Villas Arugambay,Shallow end in pool
20,Aprota Villas Arugambay,Bar / lounge
21,Aprota Villas Arugambay,Coffee shop
22,Aprota Villas Arugambay,Restaurant
23,Aprota Villas Arugambay,Breakfast available
24,Aprota Villas Arugambay,Breakfast in the room
25,Aprota Villas Arugambay,Complimentary Instant Coffee
26,Aprota Villas Arugambay,Complimentary tea
27,Aprota Villas Arugambay,Complimentary welcome drink
28,Aprota Villas Arugambay,Kids' meals
29,Aprota Villas Arugambay,Outdoor dining area
30,Aprota Villas Arugambay,Snack bar
31,Aprota Villas Arugambay,Special diet menus
